"","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
"96",681297,"Cowser, Colton",0.248,0.3,0.294,0.346,0.052,0.046,0.098
"97",624641,"Sosa, Edmundo",0.28,0.222,0.231,0.273,-0.058,-0.049,-0.00700000000000001
"98",664728,"Isbel, Kyle",0.22,0,0,0.05,-0.22,-0.22,-0.17
"99",666149,"Fitzgerald, Tyler",0.319,0.462,0.409,0.31,0.143,0.09,-0.00900000000000001
"100",645305,"Sánchez, Ali",0.184,0.333,0.182,0.125,0.149,-0.002,-0.059
"101",664023,"Happ, Ian",0.227,0.1,0.056,0.154,-0.127,-0.171,-0.073
"102",621566,"Olson, Matt",0.229,0.364,0.294,0.292,0.135,0.065,0.063
"103",669065,"Stowers, Kyle",0.22,0.083,0.105,0.125,-0.137,-0.115,-0.095
"104",664238,"Moore, Dylan",0.209,0.111,0.133,0.227,-0.098,-0.076,0.018
"105",622534,"Margot, Manuel",0.239,0.222,0.154,0.2,-0.017,-0.085,-0.039
"106",609280,"Andujar, Miguel",0.301,0.364,0.421,0.407,0.063,0.12,0.106
"107",691026,"Winn, Masyn",0.28,0.3,0.25,0.276,0.02,-0.03,-0.004
"108",673357,"Robert Jr., Luis",0.21,0.154,0.095,0.214,-0.056,-0.115,0.004
"109",453568,"Blackmon, Charlie",0.256,0.111,0.235,0.24,-0.145,-0.021,-0.016
"110",607043,"Nimmo, Brandon",0.236,0.182,0.3,0.269,-0.054,0.064,0.033
"111",687401,"Ortiz, Joey",0.246,0.2,0.188,0.217,-0.046,-0.058,-0.029
"112",542303,"Ozuna, Marcell",0.297,0.167,0.211,0.172,-0.13,-0.086,-0.125
"113",672580,"Garcia, Maikel",0.235,0.231,0.2,0.226,-0.00399999999999998,-0.035,-0.00899999999999998
"114",677870,"Jiménez, Leo",0.209,0.111,0.071,0.12,-0.098,-0.138,-0.089
"115",680776,"Duran, Jarren",0.294,0.357,0.333,0.333,0.063,0.039,0.039
"116",664040,"Lowe, Brandon",0.269,0.462,0.333,0.345,0.193,0.064,0.076
"117",665804,"Amaya, Miguel",0.211,0.2,0.154,0.158,-0.011,-0.057,-0.053
"118",671732,"Butler, Lawrence",0.244,0.1,0.118,0.154,-0.144,-0.126,-0.09
"119",663886,"Stephenson, Tyler",0.243,0.273,0.294,0.333,0.03,0.051,0.09
"120",690993,"Keith, Colt",0.253,0.231,0.2,0.207,-0.022,-0.053,-0.046
"121",606192,"Hernández, Teoscar",0.272,0.333,0.45,0.333,0.061,0.178,0.061
"122",608324,"Bregman, Alex",0.251,0.214,0.227,0.2,-0.037,-0.024,-0.051
"123",596019,"Lindor, Francisco",0.253,0.167,0.227,0.2,-0.086,-0.026,-0.053
"124",681460,"Baldwin, Brooks",0.22,0.455,0.316,0.222,0.235,0.096,0.002
"125",663837,"Vierling, Matt",0.257,0.25,0.263,0.222,-0.00700000000000001,0.00600000000000001,-0.035
"126",602104,"Urías, Ramón",0.24,0,0.111,0.25,-0.24,-0.129,0.01
"127",650490,"Díaz, Yandy",0.275,0.3,0.353,0.32,0.025,0.078,0.045
"128",663586,"Riley, Austin",0.262,0.4,0.333,0.393,0.138,0.071,0.131
"129",670770,"Friedl, TJ",0.209,0.333,0.214,0.263,0.124,0.005,0.054
"130",680718,"Barger, Addison",0.2,0.222,0.312,0.333,0.022,0.112,0.133
"131",686797,"Lee, Brooks",0.253,0.333,0.333,0.227,0.08,0.08,-0.026
"132",656537,"Hill, Derek",0.25,0.143,0.267,0.222,-0.107,0.017,-0.028
"133",668715,"Steer, Spencer",0.226,0,0.056,0.074,-0.226,-0.17,-0.152
"134",678246,"Vargas, Miguel",0.206,0.182,0.167,0.115,-0.024,-0.039,-0.091
